segment,crf,psnr,ssim,vmaf
Beauty_1920x1080_120fps_420_8bit_YUV_seg_000,18,39.604879,0.907788,92.910152
Beauty_1920x1080_120fps_420_8bit_YUV_seg_000,28,38.175025,0.891813,78.324486
Beauty_1920x1080_120fps_420_8bit_YUV_seg_000,38,35.352667,0.869633,53.317751
Beauty_1920x1080_120fps_420_8bit_YUV_seg_001,18,39.743842,0.909137,93.297125
Beauty_1920x1080_120fps_420_8bit_YUV_seg_001,28,38.467119,0.896388,79.137085
Beauty_1920x1080_120fps_420_8bit_YUV_seg_001,38,35.702256,0.877841,53.470683
Beauty_1920x1080_120fps_420_8bit_YUV_seg_002,18,39.708523,0.91032,93.094499
Beauty_1920x1080_120fps_420_8bit_YUV_seg_002,28,38.288324,0.896392,78.239982
Beauty_1920x1080_120fps_420_8bit_YUV_seg_002,38,35.279125,0.873934,50.95293
Beauty_1920x1080_120fps_420_8bit_YUV_seg_003,18,39.76557,0.912188,93.264548
Beauty_1920x1080_120fps_420_8bit_YUV_seg_003,28,38.258196,0.897671,78.609695
Beauty_1920x1080_120fps_420_8bit_YUV_seg_003,38,35.17863,0.874782,52.608855
Beauty_1920x1080_120fps_420_8bit_YUV_seg_004,18,39.695854,0.909566,93.560882
Beauty_1920x1080_120fps_420_8bit_YUV_seg_004,28,38.311661,0.895361,80.137781
Beauty_1920x1080_120fps_420_8bit_YUV_seg_004,38,35.431371,0.87391,54.703216
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_000,18,43.49151,0.975625,94.072846
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_000,28,39.107587,0.945065,82.960277
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_000,38,34.386,0.885156,57.467765
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_001,18,43.577914,0.975758,93.929919
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_001,28,39.172235,0.945584,82.895978
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_001,38,34.443253,0.886784,56.962567
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_002,18,43.751466,0.976114,94.527175
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_002,28,39.325313,0.947156,82.84697
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_002,38,34.581862,0.890405,56.952432
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_003,18,43.760606,0.975618,94.228807
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_003,28,39.35864,0.946559,82.812839
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_003,38,34.653541,0.891499,57.044516
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_004,18,43.770049,0.975617,94.569035
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_004,28,39.356439,0.946499,82.88951
Bosphorus_1920x1080_120fps_420_8bit_YUV_seg_004,38,34.639175,0.891284,57.263786
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_000,18,42.965218,0.968469,94.334364
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_000,28,39.817333,0.949287,86.432912
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_000,38,35.302357,0.904499,59.143266
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_001,18,43.014332,0.968687,94.376867
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_001,28,39.936846,0.949813,86.567447
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_001,38,35.475101,0.905346,59.398131
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_002,18,43.034352,0.968817,94.409251
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_002,28,39.995105,0.95036,86.645164
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_002,38,35.525831,0.904701,59.339968
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_003,18,43.010747,0.968739,94.326505
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_003,28,39.979416,0.950211,86.356626
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_003,38,35.421932,0.90385,58.435732
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_004,18,42.959088,0.968402,93.878855
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_004,28,39.86156,0.949784,85.184563
HoneyBee_1920x1080_120fps_420_8bit_YUV_seg_004,38,35.308409,0.904577,56.730983
Jockey_1920x1080_120fps_420_8bit_YUV_seg_000,18,42.993211,0.967148,99.963828
Jockey_1920x1080_120fps_420_8bit_YUV_seg_000,28,39.160539,0.94182,92.417043
Jockey_1920x1080_120fps_420_8bit_YUV_seg_000,38,34.106087,0.893034,64.558702
Jockey_1920x1080_120fps_420_8bit_YUV_seg_001,18,43.160806,0.968003,99.959875
Jockey_1920x1080_120fps_420_8bit_YUV_seg_001,28,39.32394,0.945573,94.078639
Jockey_1920x1080_120fps_420_8bit_YUV_seg_001,38,34.049489,0.899218,66.142432
Jockey_1920x1080_120fps_420_8bit_YUV_seg_002,18,42.74169,0.963276,99.958945
Jockey_1920x1080_120fps_420_8bit_YUV_seg_002,28,39.166864,0.944559,93.348776
Jockey_1920x1080_120fps_420_8bit_YUV_seg_002,38,34.045701,0.907731,64.022388
Jockey_1920x1080_120fps_420_8bit_YUV_seg_003,18,43.310902,0.959412,99.35676
Jockey_1920x1080_120fps_420_8bit_YUV_seg_003,28,40.760663,0.945012,84.614944
Jockey_1920x1080_120fps_420_8bit_YUV_seg_003,38,36.524497,0.925043,53.73164
Jockey_1920x1080_120fps_420_8bit_YUV_seg_004,18,43.212241,0.960875,99.404383
Jockey_1920x1080_120fps_420_8bit_YUV_seg_004,28,40.406146,0.944239,87.487163
Jockey_1920x1080_120fps_420_8bit_YUV_seg_004,38,35.901832,0.91677,59.106344
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_000,18,42.228437,0.975824,99.665834
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_000,28,37.102565,0.944547,96.438364
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_000,38,31.519059,0.874548,71.431053
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_001,18,42.658961,0.976163,99.964604
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_001,28,37.481931,0.946034,91.654547
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_001,38,31.796483,0.88263,61.929671
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_002,18,42.266668,0.975179,99.961504
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_002,28,36.883975,0.940708,91.866182
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_002,38,31.179581,0.86776,60.392795
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_003,18,41.499717,0.973944,99.96266
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_003,28,35.915038,0.932422,98.411074
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_003,38,30.075614,0.842414,67.416017
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_004,18,41.428499,0.975809,99.963903
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_004,28,35.784011,0.932465,97.898162
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV_seg_004,38,29.957974,0.830891,72.885373
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_000,18,40.612703,0.958282,91.875208
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_000,28,35.962357,0.90039,72.941081
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_000,38,31.865198,0.81337,44.114414
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_001,18,41.743158,0.963448,92.789995
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_001,28,37.801262,0.926686,79.672296
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_001,38,32.970341,0.850555,48.31293
ShakeNDry_1920x1080_120fps_420_8bit_YUV_seg_002,18,42.392534,0.968114,93.855018
